,Name,Axis,Boundary,Threshold,Unfilled,Filled,Percent_Filled,Nonalt
0,n-n-1,X-coord,-1.0-1.0,0.0,1337.0,83.0,5.845070422535211,0.0
96,n-n-2,X-coord,-1.0-1.0,0.0,1390.0,30.0,2.112676056338028,0.0
192,n-n-3,X-coord,-1.0-1.0,0.0,1390.0,30.0,2.112676056338028,0.0
288,n-n-4,X-coord,-1.0-1.0,0.0,1199.0,221.0,15.56338028169014,0.0
384,n-n-5,X-coord,-1.0-1.0,0.0,1388.0,32.0,2.2535211267605635,0.0
480,p-p-1,X-coord,-1.0-1.0,0.0,984.0,436.0,30.704225352112676,0.0
576,p-p-2,X-coord,-1.0-1.0,0.0,1072.0,348.0,24.507042253521128,0.0
672,p-p-3,X-coord,-1.0-1.0,0.0,1016.0,404.0,28.450704225352112,0.0
768,p-p-4,X-coord,-1.0-1.0,0.0,1148.0,272.0,19.154929577464788,0.0
864,p-so-1,X-coord,-1.0-1.0,0.0,1017.0,403.0,28.380281690140844,1.0
960,p-so-10,X-coord,-1.0-1.0,0.0,1013.0,407.0,28.661971830985916,1.0
1056,p-so-11,X-coord,-1.0-1.0,0.0,932.0,488.0,34.36619718309859,1.0
1152,p-so-12,X-coord,-1.0-1.0,0.0,931.0,489.0,34.436619718309856,1.0
1248,p-so-13,X-coord,-1.0-1.0,0.0,1324.0,96.0,6.76056338028169,1.0
1344,p-so-14,X-coord,-1.0-1.0,0.0,1241.0,179.0,12.605633802816902,1.0
1440,p-so-15,X-coord,-1.0-1.0,0.0,1259.0,161.0,11.338028169014084,1.0
1536,p-so-16,X-coord,-1.0-1.0,0.0,1143.0,277.0,19.507042253521128,1.0
1632,p-so-2,X-coord,-1.0-1.0,0.0,1345.0,75.0,5.28169014084507,1.0
1728,p-so-3,X-coord,-1.0-1.0,0.0,930.0,490.0,34.50704225352113,1.0
1824,p-so-4,X-coord,-1.0-1.0,0.0,931.0,489.0,34.436619718309856,1.0
1920,p-so-5,X-coord,-1.0-1.0,0.0,912.0,508.0,35.774647887323944,1.0
2016,p-so-6,X-coord,-1.0-1.0,0.0,1074.0,346.0,24.366197183098592,1.0
2112,p-so-7,X-coord,-1.0-1.0,0.0,1132.0,288.0,20.281690140845072,1.0
2208,p-so-8,X-coord,-1.0-1.0,0.0,1058.0,362.0,25.492957746478872,1.0
2304,p-so-9,X-coord,-1.0-1.0,0.0,1283.0,137.0,9.647887323943662,1.0
2400,pcpo-1,X-coord,-1.0-1.0,0.0,1333.0,87.0,6.126760563380282,0.0
2496,pcpo-2,X-coord,-1.0-1.0,0.0,1365.0,55.0,3.8732394366197185,0.0
2592,pcpo-3,X-coord,-1.0-1.0,0.0,1374.0,46.0,3.23943661971831,0.0
2688,pnpo-1,X-coord,-1.0-1.0,0.0,1113.0,307.0,21.619718309859156,1.0
2784,pnpo-10,X-coord,-1.0-1.0,0.0,1152.0,268.0,18.87323943661972,1.0
2880,pnpo-11,X-coord,-1.0-1.0,0.0,1125.0,295.0,20.774647887323944,1.0
2976,pnpo-12,X-coord,-1.0-1.0,0.0,1113.0,307.0,21.619718309859156,1.0
3072,pnpo-13,X-coord,-1.0-1.0,0.0,1064.0,356.0,25.070422535211268,1.0
3168,pnpo-2,X-coord,-1.0-1.0,0.0,955.0,465.0,32.74647887323944,1.0
3264,pnpo-3,X-coord,-1.0-1.0,0.0,1081.0,339.0,23.87323943661972,1.0
3360,pnpo-4,X-coord,-1.0-1.0,0.0,1058.0,362.0,25.492957746478872,1.0
3456,pnpo-5,X-coord,-1.0-1.0,0.0,1130.0,290.0,20.422535211267604,1.0
3552,pnpo-6,X-coord,-1.0-1.0,0.0,1382.0,38.0,2.676056338028169,1.0
3648,pnpo-7,X-coord,-1.0-1.0,0.0,1382.0,38.0,2.676056338028169,1.0
3744,pnpo-8,X-coord,-1.0-1.0,0.0,1072.0,348.0,24.507042253521128,1.0
3840,pnpo-9,X-coord,-1.0-1.0,0.0,1157.0,263.0,18.52112676056338,1.0
1,n-n-1,X-coord,-1.0-1.0,0.25,1398.0,22.0,1.5492957746478873,0.0
97,n-n-2,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0,0.0
193,n-n-3,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0,0.0
289,n-n-4,X-coord,-1.0-1.0,0.25,1281.0,139.0,9.788732394366198,0.0
385,n-n-5,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0,0.0
481,p-p-1,X-coord,-1.0-1.0,0.25,1137.0,283.0,19.929577464788732,0.0
577,p-p-2,X-coord,-1.0-1.0,0.25,1220.0,200.0,14.084507042253522,0.0
673,p-p-3,X-coord,-1.0-1.0,0.25,1123.0,297.0,20.91549295774648,0.0
769,p-p-4,X-coord,-1.0-1.0,0.25,1298.0,122.0,8.591549295774648,0.0
865,p-so-1,X-coord,-1.0-1.0,0.25,1099.0,321.0,22.6056338028169,1.0
961,p-so-10,X-coord,-1.0-1.0,0.25,1082.0,338.0,23.802816901408452,1.0
1057,p-so-11,X-coord,-1.0-1.0,0.25,1009.0,411.0,28.943661971830984,1.0
1153,p-so-12,X-coord,-1.0-1.0,0.25,997.0,423.0,29.788732394366196,1.0
1249,p-so-13,X-coord,-1.0-1.0,0.25,1401.0,19.0,1.3380281690140845,1.0
1345,p-so-14,X-coord,-1.0-1.0,0.25,1344.0,76.0,5.352112676056338,1.0
1441,p-so-15,X-coord,-1.0-1.0,0.25,1367.0,53.0,3.732394366197183,1.0
1537,p-so-16,X-coord,-1.0-1.0,0.25,1263.0,157.0,11.056338028169014,1.0
1633,p-so-2,X-coord,-1.0-1.0,0.25,1413.0,7.0,0.49295774647887325,1.0
1729,p-so-3,X-coord,-1.0-1.0,0.25,1009.0,411.0,28.943661971830984,1.0
1825,p-so-4,X-coord,-1.0-1.0,0.25,1014.0,406.0,28.591549295774648,1.0
1921,p-so-5,X-coord,-1.0-1.0,0.25,1035.0,385.0,27.112676056338028,1.0
2017,p-so-6,X-coord,-1.0-1.0,0.25,1142.0,278.0,19.577464788732396,1.0
2113,p-so-7,X-coord,-1.0-1.0,0.25,1231.0,189.0,13.309859154929578,1.0
2209,p-so-8,X-coord,-1.0-1.0,0.25,1129.0,291.0,20.492957746478872,1.0
2305,p-so-9,X-coord,-1.0-1.0,0.25,1377.0,43.0,3.028169014084507,1.0
2401,pcpo-1,X-coord,-1.0-1.0,0.25,1418.0,2.0,0.14084507042253522,0.0
2497,pcpo-2,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0,0.0
2593,pcpo-3,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0,0.0
2689,pnpo-1,X-coord,-1.0-1.0,0.25,1237.0,183.0,12.887323943661972,1.0
2785,pnpo-10,X-coord,-1.0-1.0,0.25,1225.0,195.0,13.732394366197184,1.0
2881,pnpo-11,X-coord,-1.0-1.0,0.25,1202.0,218.0,15.352112676056338,1.0
2977,pnpo-12,X-coord,-1.0-1.0,0.25,1187.0,233.0,16.408450704225352,1.0
3073,pnpo-13,X-coord,-1.0-1.0,0.25,1147.0,273.0,19.225352112676056,1.0
3169,pnpo-2,X-coord,-1.0-1.0,0.25,1018.0,402.0,28.309859154929576,1.0
3265,pnpo-3,X-coord,-1.0-1.0,0.25,1148.0,272.0,19.154929577464788,1.0
3361,pnpo-4,X-coord,-1.0-1.0,0.25,1129.0,291.0,20.492957746478872,1.0
3457,pnpo-5,X-coord,-1.0-1.0,0.25,1245.0,175.0,12.32394366197183,1.0
3553,pnpo-6,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0,1.0
3649,pnpo-7,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0,1.0
3745,pnpo-8,X-coord,-1.0-1.0,0.25,1229.0,191.0,13.450704225352112,1.0
3841,pnpo-9,X-coord,-1.0-1.0,0.25,1228.0,192.0,13.52112676056338,1.0
2,n-n-1,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,0.0
98,n-n-2,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,0.0
194,n-n-3,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,0.0
290,n-n-4,X-coord,-1.0-1.0,0.5,1347.0,73.0,5.140845070422535,0.0
386,n-n-5,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,0.0
482,p-p-1,X-coord,-1.0-1.0,0.5,1288.0,132.0,9.295774647887324,0.0
578,p-p-2,X-coord,-1.0-1.0,0.5,1412.0,8.0,0.5633802816901409,0.0
674,p-p-3,X-coord,-1.0-1.0,0.5,1193.0,227.0,15.985915492957746,0.0
770,p-p-4,X-coord,-1.0-1.0,0.5,1413.0,7.0,0.49295774647887325,0.0
866,p-so-1,X-coord,-1.0-1.0,0.5,1153.0,267.0,18.802816901408452,1.0
962,p-so-10,X-coord,-1.0-1.0,0.5,1119.0,301.0,21.197183098591548,1.0
1058,p-so-11,X-coord,-1.0-1.0,0.5,1036.0,384.0,27.04225352112676,1.0
1154,p-so-12,X-coord,-1.0-1.0,0.5,1013.0,407.0,28.661971830985916,1.0
1250,p-so-13,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,1.0
1346,p-so-14,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,1.0
1442,p-so-15,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,1.0
1538,p-so-16,X-coord,-1.0-1.0,0.5,1383.0,37.0,2.6056338028169015,1.0
1634,p-so-2,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,1.0
1730,p-so-3,X-coord,-1.0-1.0,0.5,1036.0,384.0,27.04225352112676,1.0
1826,p-so-4,X-coord,-1.0-1.0,0.5,1045.0,375.0,26.408450704225352,1.0
1922,p-so-5,X-coord,-1.0-1.0,0.5,1202.0,218.0,15.352112676056338,1.0
2018,p-so-6,X-coord,-1.0-1.0,0.5,1166.0,254.0,17.887323943661972,1.0
2114,p-so-7,X-coord,-1.0-1.0,0.5,1292.0,128.0,9.014084507042254,1.0
2210,p-so-8,X-coord,-1.0-1.0,0.5,1161.0,259.0,18.239436619718308,1.0
2306,p-so-9,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,1.0
2402,pcpo-1,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,0.0
2498,pcpo-2,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,0.0
2594,pcpo-3,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,0.0
2690,pnpo-1,X-coord,-1.0-1.0,0.5,1253.0,167.0,11.76056338028169,1.0
2786,pnpo-10,X-coord,-1.0-1.0,0.5,1279.0,141.0,9.929577464788732,1.0
2882,pnpo-11,X-coord,-1.0-1.0,0.5,1262.0,158.0,11.126760563380282,1.0
2978,pnpo-12,X-coord,-1.0-1.0,0.5,1245.0,175.0,12.32394366197183,1.0
3074,pnpo-13,X-coord,-1.0-1.0,0.5,1212.0,208.0,14.647887323943662,1.0
3170,pnpo-2,X-coord,-1.0-1.0,0.5,1024.0,396.0,27.887323943661972,1.0
3266,pnpo-3,X-coord,-1.0-1.0,0.5,1184.0,236.0,16.619718309859156,1.0
3362,pnpo-4,X-coord,-1.0-1.0,0.5,1163.0,257.0,18.098591549295776,1.0
3458,pnpo-5,X-coord,-1.0-1.0,0.5,1264.0,156.0,10.985915492957746,1.0
3554,pnpo-6,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,1.0
3650,pnpo-7,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,1.0
3746,pnpo-8,X-coord,-1.0-1.0,0.5,1266.0,154.0,10.845070422535212,1.0
3842,pnpo-9,X-coord,-1.0-1.0,0.5,1279.0,141.0,9.929577464788732,1.0
3,n-n-1,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0
99,n-n-2,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0
195,n-n-3,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0
291,n-n-4,X-coord,-1.0-1.0,0.75,1390.0,30.0,2.112676056338028,0.0
387,n-n-5,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0
483,p-p-1,X-coord,-1.0-1.0,0.75,1361.0,59.0,4.154929577464789,0.0
579,p-p-2,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0
675,p-p-3,X-coord,-1.0-1.0,0.75,1209.0,211.0,14.859154929577464,0.0
771,p-p-4,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0
867,p-so-1,X-coord,-1.0-1.0,0.75,1182.0,238.0,16.760563380281692,1.0
963,p-so-10,X-coord,-1.0-1.0,0.75,1137.0,283.0,19.929577464788732,1.0
1059,p-so-11,X-coord,-1.0-1.0,0.75,1054.0,366.0,25.774647887323944,1.0
1155,p-so-12,X-coord,-1.0-1.0,0.75,1022.0,398.0,28.028169014084508,1.0
1251,p-so-13,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0
1347,p-so-14,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0
1443,p-so-15,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0
1539,p-so-16,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0
1635,p-so-2,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0
1731,p-so-3,X-coord,-1.0-1.0,0.75,1052.0,368.0,25.91549295774648,1.0
1827,p-so-4,X-coord,-1.0-1.0,0.75,1062.0,358.0,25.211267605633804,1.0
1923,p-so-5,X-coord,-1.0-1.0,0.75,1290.0,130.0,9.154929577464788,1.0
2019,p-so-6,X-coord,-1.0-1.0,0.75,1185.0,235.0,16.549295774647888,1.0
2115,p-so-7,X-coord,-1.0-1.0,0.75,1327.0,93.0,6.549295774647887,1.0
2211,p-so-8,X-coord,-1.0-1.0,0.75,1177.0,243.0,17.112676056338028,1.0
2307,p-so-9,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0
2403,pcpo-1,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0
2499,pcpo-2,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0
2595,pcpo-3,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0
2691,pnpo-1,X-coord,-1.0-1.0,0.75,1268.0,152.0,10.704225352112676,1.0
2787,pnpo-10,X-coord,-1.0-1.0,0.75,1305.0,115.0,8.098591549295774,1.0
2883,pnpo-11,X-coord,-1.0-1.0,0.75,1291.0,129.0,9.084507042253522,1.0
2979,pnpo-12,X-coord,-1.0-1.0,0.75,1274.0,146.0,10.28169014084507,1.0
3075,pnpo-13,X-coord,-1.0-1.0,0.75,1228.0,192.0,13.52112676056338,1.0
3171,pnpo-2,X-coord,-1.0-1.0,0.75,1036.0,384.0,27.04225352112676,1.0
3267,pnpo-3,X-coord,-1.0-1.0,0.75,1214.0,206.0,14.507042253521126,1.0
3363,pnpo-4,X-coord,-1.0-1.0,0.75,1192.0,228.0,16.056338028169016,1.0
3459,pnpo-5,X-coord,-1.0-1.0,0.75,1277.0,143.0,10.070422535211268,1.0
3555,pnpo-6,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0
3651,pnpo-7,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0
3747,pnpo-8,X-coord,-1.0-1.0,0.75,1279.0,141.0,9.929577464788732,1.0
3843,pnpo-9,X-coord,-1.0-1.0,0.75,1302.0,118.0,8.309859154929578,1.0
4,n-n-1,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0
100,n-n-2,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0
196,n-n-3,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0
292,n-n-4,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0
388,n-n-5,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0
484,p-p-1,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0
580,p-p-2,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0
676,p-p-3,X-coord,-1.0-1.0,1.0,1242.0,178.0,12.535211267605634,0.0
772,p-p-4,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0
868,p-so-1,X-coord,-1.0-1.0,1.0,1243.0,177.0,12.464788732394366,1.0
964,p-so-10,X-coord,-1.0-1.0,1.0,1167.0,253.0,17.816901408450704,1.0
1060,p-so-11,X-coord,-1.0-1.0,1.0,1072.0,348.0,24.507042253521128,1.0
1156,p-so-12,X-coord,-1.0-1.0,1.0,1040.0,380.0,26.760563380281692,1.0
1252,p-so-13,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0
1348,p-so-14,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0
1444,p-so-15,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0
1540,p-so-16,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0
1636,p-so-2,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0
1732,p-so-3,X-coord,-1.0-1.0,1.0,1087.0,333.0,23.450704225352112,1.0
1828,p-so-4,X-coord,-1.0-1.0,1.0,1090.0,330.0,23.239436619718308,1.0
1924,p-so-5,X-coord,-1.0-1.0,1.0,1370.0,50.0,3.5211267605633805,1.0
2020,p-so-6,X-coord,-1.0-1.0,1.0,1216.0,204.0,14.366197183098592,1.0
2116,p-so-7,X-coord,-1.0-1.0,1.0,1387.0,33.0,2.323943661971831,1.0
2212,p-so-8,X-coord,-1.0-1.0,1.0,1197.0,223.0,15.704225352112676,1.0
2308,p-so-9,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0
2404,pcpo-1,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0
2500,pcpo-2,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0
2596,pcpo-3,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0
2692,pnpo-1,X-coord,-1.0-1.0,1.0,1287.0,133.0,9.366197183098592,1.0
2788,pnpo-10,X-coord,-1.0-1.0,1.0,1314.0,106.0,7.464788732394366,1.0
2884,pnpo-11,X-coord,-1.0-1.0,1.0,1301.0,119.0,8.380281690140846,1.0
2980,pnpo-12,X-coord,-1.0-1.0,1.0,1285.0,135.0,9.507042253521126,1.0
3076,pnpo-13,X-coord,-1.0-1.0,1.0,1241.0,179.0,12.605633802816902,1.0
3172,pnpo-2,X-coord,-1.0-1.0,1.0,1058.0,362.0,25.492957746478872,1.0
3268,pnpo-3,X-coord,-1.0-1.0,1.0,1253.0,167.0,11.76056338028169,1.0
3364,pnpo-4,X-coord,-1.0-1.0,1.0,1235.0,185.0,13.028169014084508,1.0
3460,pnpo-5,X-coord,-1.0-1.0,1.0,1295.0,125.0,8.80281690140845,1.0
3556,pnpo-6,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0
3652,pnpo-7,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0
3748,pnpo-8,X-coord,-1.0-1.0,1.0,1297.0,123.0,8.661971830985916,1.0
3844,pnpo-9,X-coord,-1.0-1.0,1.0,1311.0,109.0,7.676056338028169,1.0
5,n-n-1,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0
101,n-n-2,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0
197,n-n-3,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0
293,n-n-4,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0
389,n-n-5,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0
485,p-p-1,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0
581,p-p-2,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0
677,p-p-3,X-coord,-1.0-1.0,1.25,1270.0,150.0,10.56338028169014,0.0
773,p-p-4,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0
869,p-so-1,X-coord,-1.0-1.0,1.25,1292.0,128.0,9.014084507042254,1.0
965,p-so-10,X-coord,-1.0-1.0,1.25,1194.0,226.0,15.915492957746478,1.0
1061,p-so-11,X-coord,-1.0-1.0,1.25,1086.0,334.0,23.52112676056338,1.0
1157,p-so-12,X-coord,-1.0-1.0,1.25,1055.0,365.0,25.704225352112676,1.0
1253,p-so-13,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,1.0
1349,p-so-14,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,1.0
1445,p-so-15,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,1.0
1541,p-so-16,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,1.0
1637,p-so-2,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,1.0
1733,p-so-3,X-coord,-1.0-1.0,1.25,1110.0,310.0,21.830985915492956,1.0
1829,p-so-4,X-coord,-1.0-1.0,1.25,1107.0,313.0,22.04225352112676,1.0
1925,p-so-5,X-coord,-1.0-1.0,1.25,1414.0,6.0,0.4225352112676056,1.0
2021,p-so-6,X-coord,-1.0-1.0,1.25,1242.0,178.0,12.535211267605634,1.0
2117,p-so-7,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,1.0
2213,p-so-8,X-coord,-1.0-1.0,1.25,1213.0,207.0,14.577464788732394,1.0
2309,p-so-9,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,1.0
2405,pcpo-1,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0
2501,pcpo-2,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0
2597,pcpo-3,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0
2693,pnpo-1,X-coord,-1.0-1.0,1.25,1300.0,120.0,8.450704225352112,1.0
2789,pnpo-10,X-coord,-1.0-1.0,1.25,1321.0,99.0,6.971830985915493,1.0
2885,pnpo-11,X-coord,-1.0-1.0,1.25,1309.0,111.0,7.816901408450704,1.0
2981,pnpo-12,X-coord,-1.0-1.0,1.25,1294.0,126.0,8.873239436619718,1.0
3077,pnpo-13,X-coord,-1.0-1.0,1.25,1251.0,169.0,11.901408450704226,1.0
3173,pnpo-2,X-coord,-1.0-1.0,1.25,1073.0,347.0,24.43661971830986,1.0
3269,pnpo-3,X-coord,-1.0-1.0,1.25,1284.0,136.0,9.577464788732394,1.0
3365,pnpo-4,X-coord,-1.0-1.0,1.25,1266.0,154.0,10.845070422535212,1.0
3461,pnpo-5,X-coord,-1.0-1.0,1.25,1308.0,112.0,7.887323943661972,1.0
3557,pnpo-6,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,1.0
3653,pnpo-7,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,1.0
3749,pnpo-8,X-coord,-1.0-1.0,1.25,1308.0,112.0,7.887323943661972,1.0
3845,pnpo-9,X-coord,-1.0-1.0,1.25,1319.0,101.0,7.112676056338028,1.0
6,n-n-1,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,0.0
102,n-n-2,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,0.0
198,n-n-3,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,0.0
294,n-n-4,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,0.0
390,n-n-5,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,0.0
486,p-p-1,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,0.0
582,p-p-2,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,0.0
678,p-p-3,X-coord,-1.0-1.0,1.5,1320.0,100.0,7.042253521126761,0.0
774,p-p-4,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,0.0
870,p-so-1,X-coord,-1.0-1.0,1.5,1363.0,57.0,4.014084507042254,1.0
966,p-so-10,X-coord,-1.0-1.0,1.5,1253.0,167.0,11.76056338028169,1.0
1062,p-so-11,X-coord,-1.0-1.0,1.5,1118.0,302.0,21.267605633802816,1.0
1158,p-so-12,X-coord,-1.0-1.0,1.5,1084.0,336.0,23.661971830985916,1.0
1254,p-so-13,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,1.0
1350,p-so-14,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,1.0
1446,p-so-15,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,1.0
1542,p-so-16,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,1.0
1638,p-so-2,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,1.0
1734,p-so-3,X-coord,-1.0-1.0,1.5,1162.0,258.0,18.169014084507044,1.0
1830,p-so-4,X-coord,-1.0-1.0,1.5,1147.0,273.0,19.225352112676056,1.0
1926,p-so-5,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,1.0
2022,p-so-6,X-coord,-1.0-1.0,1.5,1297.0,123.0,8.661971830985916,1.0
2118,p-so-7,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,1.0
2214,p-so-8,X-coord,-1.0-1.0,1.5,1258.0,162.0,11.408450704225352,1.0
2310,p-so-9,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,1.0
2406,pcpo-1,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,0.0
2502,pcpo-2,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,0.0
2598,pcpo-3,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,0.0
2694,pnpo-1,X-coord,-1.0-1.0,1.5,1331.0,89.0,6.267605633802817,1.0
2790,pnpo-10,X-coord,-1.0-1.0,1.5,1336.0,84.0,5.915492957746479,1.0
2886,pnpo-11,X-coord,-1.0-1.0,1.5,1325.0,95.0,6.690140845070423,1.0
2982,pnpo-12,X-coord,-1.0-1.0,1.5,1310.0,110.0,7.746478873239437,1.0
3078,pnpo-13,X-coord,-1.0-1.0,1.5,1273.0,147.0,10.352112676056338,1.0
3174,pnpo-2,X-coord,-1.0-1.0,1.5,1103.0,317.0,22.323943661971832,1.0
3270,pnpo-3,X-coord,-1.0-1.0,1.5,1345.0,75.0,5.28169014084507,1.0
3366,pnpo-4,X-coord,-1.0-1.0,1.5,1331.0,89.0,6.267605633802817,1.0
3462,pnpo-5,X-coord,-1.0-1.0,1.5,1336.0,84.0,5.915492957746479,1.0
3558,pnpo-6,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,1.0
3654,pnpo-7,X-coord,-1.0-1.0,1.5,1420.0,0.0,0.0,1.0
3750,pnpo-8,X-coord,-1.0-1.0,1.5,1336.0,84.0,5.915492957746479,1.0
3846,pnpo-9,X-coord,-1.0-1.0,1.5,1334.0,86.0,6.056338028169014,1.0
7,n-n-1,X-coord,-1.0-1.0,1.75,1420.0,0.0,0.0,0.0
103,n-n-2,X-coord,-1.0-1.0,1.75,1420.0,0.0,0.0,0.0
199,n-n-3,X-coord,-1.0-1.0,1.75,1420.0,0.0,0.0,0.0
295,n-n-4,X-coord,-1.0-1.0,1.75,1420.0,0.0,0.0,0.0
391,n-n-5,X-coord,-1.0-1.0,1.75,1420.0,0.0,0.0,0.0
487,p-p-1,X-coord,-1.0-1.0,1.75,1420.0,0.0,0.0,0.0
583,p-p-2,X-coord,-1.0-1.0,1.75,1420.0,0.0,0.0,0.0
679,p-p-3,X-coord,-1.0-1.0,1.75,1357.0,63.0,4.436619718309859,0.0
775,p-p-4,X-coord,-1.0-1.0,1.75,1420.0,0.0,0.0,0.0
871,p-so-1,X-coord,-1.0-1.0,1.75,1411.0,9.0,0.6338028169014085,1.0
967,p-so-10,X-coord,-1.0-1.0,1.75,1305.0,115.0,8.098591549295774,1.0
1063,p-so-11,X-coord,-1.0-1.0,1.75,1145.0,275.0,19.366197183098592,1.0
