,Name,Axis,Boundary,Threshold,Unfilled,Filled,Percent_Filled,Nonalt,Coefficient,Weighted_percent_filled
0,n-n-1,X-coord,-1.0-1.0,0.0,1337.0,83.0,5.845070422535211,0.0,0.16047289334578027,0.9379753625140678
96,n-n-2,X-coord,-1.0-1.0,0.0,1390.0,30.0,2.112676056338028,0.0,0.16047289334578027,0.339027239462916
192,n-n-3,X-coord,-1.0-1.0,0.0,1390.0,30.0,2.112676056338028,0.0,0.16047289334578027,0.339027239462916
288,n-n-4,X-coord,-1.0-1.0,0.0,1199.0,221.0,15.56338028169014,0.0,0.16047289334578027,2.4975006640434816
384,n-n-5,X-coord,-1.0-1.0,0.0,1388.0,32.0,2.2535211267605635,0.0,0.16047289334578027,0.3616290554271105
480,p-p-1,X-coord,-1.0-1.0,0.0,984.0,436.0,30.704225352112676,0.0,0.16047289334578027,4.92719588019438
576,p-p-2,X-coord,-1.0-1.0,0.0,1072.0,348.0,24.507042253521128,0.0,0.16047289334578027,3.9327159777698264
672,p-p-3,X-coord,-1.0-1.0,0.0,1016.0,404.0,28.450704225352112,0.0,0.16047289334578027,4.565566824767269
768,p-p-4,X-coord,-1.0-1.0,0.0,1148.0,272.0,19.154929577464788,0.0,0.16047289334578027,3.073846971130439
864,p-so-1,X-coord,-1.0-1.0,0.0,1017.0,403.0,28.380281690140844,1.0,0.16047289334578027,4.554265916785172
960,p-so-10,X-coord,-1.0-1.0,0.0,1013.0,407.0,28.661971830985916,1.0,0.16047289334578027,4.599469548713562
1056,p-so-11,X-coord,-1.0-1.0,0.0,932.0,488.0,34.36619718309859,1.0,0.16047289334578027,5.514843095263434
1152,p-so-12,X-coord,-1.0-1.0,0.0,931.0,489.0,34.436619718309856,1.0,0.16047289334578027,5.526144003245531
1248,p-so-13,X-coord,-1.0-1.0,0.0,1324.0,96.0,6.76056338028169,1.0,0.16047289334578027,1.0848871662813313
1344,p-so-14,X-coord,-1.0-1.0,0.0,1241.0,179.0,12.605633802816902,1.0,0.16047289334578027,2.0228625287953994
1440,p-so-15,X-coord,-1.0-1.0,0.0,1259.0,161.0,11.338028169014084,1.0,0.16047289334578027,1.8194461851176496
1536,p-so-16,X-coord,-1.0-1.0,0.0,1143.0,277.0,19.507042253521128,1.0,0.16047289334578027,3.1303515110409252
1632,p-so-2,X-coord,-1.0-1.0,0.0,1345.0,75.0,5.28169014084507,1.0,0.16047289334578027,0.8475680986572901
1728,p-so-3,X-coord,-1.0-1.0,0.0,930.0,490.0,34.50704225352113,1.0,0.16047289334578027,5.537444911227629
1824,p-so-4,X-coord,-1.0-1.0,0.0,931.0,489.0,34.436619718309856,1.0,0.16047289334578027,5.526144003245531
1920,p-so-5,X-coord,-1.0-1.0,0.0,912.0,508.0,35.774647887323944,1.0,0.16047289334578027,5.740861254905378
2016,p-so-6,X-coord,-1.0-1.0,0.0,1074.0,346.0,24.366197183098592,1.0,0.16047289334578027,3.910114161805632
2112,p-so-7,X-coord,-1.0-1.0,0.0,1132.0,288.0,20.281690140845072,1.0,0.16047289334578027,3.2546614988439946
2208,p-so-8,X-coord,-1.0-1.0,0.0,1058.0,362.0,25.492957746478872,1.0,0.16047289334578027,4.090928689519187
2304,p-so-9,X-coord,-1.0-1.0,0.0,1283.0,137.0,9.647887323943662,1.0,0.16047289334578027,1.5482243935473168
2400,pcpo-1,X-coord,-1.0-1.0,0.0,1333.0,87.0,6.126760563380282,0.0,0.16047289334578027,0.9831789944424566
2496,pcpo-2,X-coord,-1.0-1.0,0.0,1365.0,55.0,3.8732394366197185,0.0,0.16047289334578027,0.6215499390153462
2592,pcpo-3,X-coord,-1.0-1.0,0.0,1374.0,46.0,3.23943661971831,0.0,0.16047289334578027,0.5198417671764713
2688,pnpo-1,X-coord,-1.0-1.0,0.0,1113.0,307.0,21.619718309859156,1.0,0.16047289334578027,3.469378750503841
2784,pnpo-10,X-coord,-1.0-1.0,0.0,1152.0,268.0,18.87323943661972,1.0,0.16047289334578027,3.0286433392020506
2880,pnpo-11,X-coord,-1.0-1.0,0.0,1125.0,295.0,20.774647887323944,1.0,0.16047289334578027,3.333767854718675
2976,pnpo-12,X-coord,-1.0-1.0,0.0,1113.0,307.0,21.619718309859156,1.0,0.16047289334578027,3.469378750503841
3072,pnpo-13,X-coord,-1.0-1.0,0.0,1064.0,356.0,25.070422535211268,1.0,0.16047289334578027,4.023123241626604
3168,pnpo-2,X-coord,-1.0-1.0,0.0,955.0,465.0,32.74647887323944,1.0,0.16047289334578027,5.2549222116752
3264,pnpo-3,X-coord,-1.0-1.0,0.0,1081.0,339.0,23.87323943661972,1.0,0.16047289334578027,3.831007805930952
3360,pnpo-4,X-coord,-1.0-1.0,0.0,1058.0,362.0,25.492957746478872,1.0,0.16047289334578027,4.090928689519187
3456,pnpo-5,X-coord,-1.0-1.0,0.0,1130.0,290.0,20.422535211267604,1.0,0.16047289334578027,3.2772633148081884
3552,pnpo-6,X-coord,-1.0-1.0,0.0,1382.0,38.0,2.676056338028169,1.0,0.16047289334578027,0.4294345033196937
3648,pnpo-7,X-coord,-1.0-1.0,0.0,1382.0,38.0,2.676056338028169,1.0,0.16047289334578027,0.4294345033196937
3744,pnpo-8,X-coord,-1.0-1.0,0.0,1072.0,348.0,24.507042253521128,1.0,0.16047289334578027,3.9327159777698264
3840,pnpo-9,X-coord,-1.0-1.0,0.0,1157.0,263.0,18.52112676056338,1.0,0.16047289334578027,2.972138799291564
1,n-n-1,X-coord,-1.0-1.0,0.25,1398.0,22.0,1.5492957746478873,0.0,0.1823863890080976,0.28257046184353146
97,n-n-2,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0,0.0,0.1823863890080976,0.0
193,n-n-3,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0,0.0,0.1823863890080976,0.0
289,n-n-4,X-coord,-1.0-1.0,0.25,1281.0,139.0,9.788732394366198,0.0,0.1823863890080976,1.7853315543750399
385,n-n-5,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0,0.0,0.1823863890080976,0.0
481,p-p-1,X-coord,-1.0-1.0,0.25,1137.0,283.0,19.929577464788732,0.0,0.1823863890080976,3.634883668259973
577,p-p-2,X-coord,-1.0-1.0,0.25,1220.0,200.0,14.084507042253522,0.0,0.1823863890080976,2.5688223803957406
673,p-p-3,X-coord,-1.0-1.0,0.25,1123.0,297.0,20.91549295774648,0.0,0.1823863890080976,3.814701234887675
769,p-p-4,X-coord,-1.0-1.0,0.25,1298.0,122.0,8.591549295774648,0.0,0.1823863890080976,1.566981652041402
865,p-so-1,X-coord,-1.0-1.0,0.25,1099.0,321.0,22.6056338028169,1.0,0.1823863890080976,4.1229599205351635
961,p-so-10,X-coord,-1.0-1.0,0.25,1082.0,338.0,23.802816901408452,1.0,0.1823863890080976,4.341309822868802
1057,p-so-11,X-coord,-1.0-1.0,0.25,1009.0,411.0,28.943661971830984,1.0,0.1823863890080976,5.278929991713246
1153,p-so-12,X-coord,-1.0-1.0,0.25,997.0,423.0,29.788732394366196,1.0,0.1823863890080976,5.433059334536991
1249,p-so-13,X-coord,-1.0-1.0,0.25,1401.0,19.0,1.3380281690140845,1.0,0.1823863890080976,0.24403812613759537
1345,p-so-14,X-coord,-1.0-1.0,0.25,1344.0,76.0,5.352112676056338,1.0,0.1823863890080976,0.9761525045503815
1441,p-so-15,X-coord,-1.0-1.0,0.25,1367.0,53.0,3.732394366197183,1.0,0.1823863890080976,0.6807379308048712
1537,p-so-16,X-coord,-1.0-1.0,0.25,1263.0,157.0,11.056338028169014,1.0,0.1823863890080976,2.0165255686106565
1633,p-so-2,X-coord,-1.0-1.0,0.25,1413.0,7.0,0.49295774647887325,1.0,0.1823863890080976,0.08990878331385092
1729,p-so-3,X-coord,-1.0-1.0,0.25,1009.0,411.0,28.943661971830984,1.0,0.1823863890080976,5.278929991713246
1825,p-so-4,X-coord,-1.0-1.0,0.25,1014.0,406.0,28.591549295774648,1.0,0.1823863890080976,5.214709432203354
1921,p-so-5,X-coord,-1.0-1.0,0.25,1035.0,385.0,27.112676056338028,1.0,0.1823863890080976,4.944983082261801
2017,p-so-6,X-coord,-1.0-1.0,0.25,1142.0,278.0,19.577464788732396,1.0,0.1823863890080976,3.5706631087500798
2113,p-so-7,X-coord,-1.0-1.0,0.25,1231.0,189.0,13.309859154929578,1.0,0.1823863890080976,2.427537149473975
2209,p-so-8,X-coord,-1.0-1.0,0.25,1129.0,291.0,20.492957746478872,1.0,0.1823863890080976,3.7376365634758026
2305,p-so-9,X-coord,-1.0-1.0,0.25,1377.0,43.0,3.028169014084507,1.0,0.1823863890080976,0.5522968117850843
2401,pcpo-1,X-coord,-1.0-1.0,0.25,1418.0,2.0,0.14084507042253522,0.0,0.1823863890080976,0.025688223803957407
2497,pcpo-2,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0,0.0,0.1823863890080976,0.0
2593,pcpo-3,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0,0.0,0.1823863890080976,0.0
2689,pnpo-1,X-coord,-1.0-1.0,0.25,1237.0,183.0,12.887323943661972,1.0,0.1823863890080976,2.3504724780621027
2785,pnpo-10,X-coord,-1.0-1.0,0.25,1225.0,195.0,13.732394366197184,1.0,0.1823863890080976,2.5046018208858474
2881,pnpo-11,X-coord,-1.0-1.0,0.25,1202.0,218.0,15.352112676056338,1.0,0.1823863890080976,2.800016394631357
2977,pnpo-12,X-coord,-1.0-1.0,0.25,1187.0,233.0,16.408450704225352,1.0,0.1823863890080976,2.992678073161038
3073,pnpo-13,X-coord,-1.0-1.0,0.25,1147.0,273.0,19.225352112676056,1.0,0.1823863890080976,3.506442549240186
3169,pnpo-2,X-coord,-1.0-1.0,0.25,1018.0,402.0,28.309859154929576,1.0,0.1823863890080976,5.1633329845954385
3265,pnpo-3,X-coord,-1.0-1.0,0.25,1148.0,272.0,19.154929577464788,1.0,0.1823863890080976,3.4935984373382074
3361,pnpo-4,X-coord,-1.0-1.0,0.25,1129.0,291.0,20.492957746478872,1.0,0.1823863890080976,3.7376365634758026
3457,pnpo-5,X-coord,-1.0-1.0,0.25,1245.0,175.0,12.32394366197183,1.0,0.1823863890080976,2.247719582846273
3553,pnpo-6,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0,1.0,0.1823863890080976,0.0
3649,pnpo-7,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0,1.0,0.1823863890080976,0.0
3745,pnpo-8,X-coord,-1.0-1.0,0.25,1229.0,191.0,13.450704225352112,1.0,0.1823863890080976,2.4532253732779323
3841,pnpo-9,X-coord,-1.0-1.0,0.25,1228.0,192.0,13.52112676056338,1.0,0.1823863890080976,2.466069485179911
2,n-n-1,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,0.0,0.22907103823105246,0.0
98,n-n-2,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,0.0,0.22907103823105246,0.0
194,n-n-3,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,0.0,0.22907103823105246,0.0
290,n-n-4,X-coord,-1.0-1.0,0.5,1347.0,73.0,5.140845070422535,0.0,0.22907103823105246,1.1776187176666781
386,n-n-5,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,0.0,0.22907103823105246,0.0
482,p-p-1,X-coord,-1.0-1.0,0.5,1288.0,132.0,9.295774647887324,0.0,0.22907103823105246,2.1293927497534453
578,p-p-2,X-coord,-1.0-1.0,0.5,1412.0,8.0,0.5633802816901409,0.0,0.22907103823105246,0.12905410604566336
674,p-p-3,X-coord,-1.0-1.0,0.5,1193.0,227.0,15.985915492957746,0.0,0.22907103823105246,3.6619102590456976
770,p-p-4,X-coord,-1.0-1.0,0.5,1413.0,7.0,0.49295774647887325,0.0,0.22907103823105246,0.11292234278995544
866,p-so-1,X-coord,-1.0-1.0,0.5,1153.0,267.0,18.802816901408452,1.0,0.22907103823105246,4.307180789274015
962,p-so-10,X-coord,-1.0-1.0,0.5,1119.0,301.0,21.197183098591548,1.0,0.22907103823105246,4.855660739968084
1058,p-so-11,X-coord,-1.0-1.0,0.5,1036.0,384.0,27.04225352112676,1.0,0.22907103823105246,6.1945970901918415
1154,p-so-12,X-coord,-1.0-1.0,0.5,1013.0,407.0,28.661971830985916,1.0,0.22907103823105246,6.565627645073123
1250,p-so-13,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,1.0,0.22907103823105246,0.0
1346,p-so-14,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,1.0,0.22907103823105246,0.0
1442,p-so-15,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,1.0,0.22907103823105246,0.0
1538,p-so-16,X-coord,-1.0-1.0,0.5,1383.0,37.0,2.6056338028169015,1.0,0.22907103823105246,0.596875240461193
1634,p-so-2,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,1.0,0.22907103823105246,0.0
1730,p-so-3,X-coord,-1.0-1.0,0.5,1036.0,384.0,27.04225352112676,1.0,0.22907103823105246,6.1945970901918415
1826,p-so-4,X-coord,-1.0-1.0,0.5,1045.0,375.0,26.408450704225352,1.0,0.22907103823105246,6.04941122089047
1922,p-so-5,X-coord,-1.0-1.0,0.5,1202.0,218.0,15.352112676056338,1.0,0.22907103823105246,3.5167243897443266
2018,p-so-6,X-coord,-1.0-1.0,0.5,1166.0,254.0,17.887323943661972,1.0,0.22907103823105246,4.0974678669498115
2114,p-so-7,X-coord,-1.0-1.0,0.5,1292.0,128.0,9.014084507042254,1.0,0.22907103823105246,2.064865696730614
2210,p-so-8,X-coord,-1.0-1.0,0.5,1161.0,259.0,18.239436619718308,1.0,0.22907103823105246,4.178126683228351
2306,p-so-9,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,1.0,0.22907103823105246,0.0
2402,pcpo-1,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,0.0,0.22907103823105246,0.0
2498,pcpo-2,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,0.0,0.22907103823105246,0.0
2594,pcpo-3,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,0.0,0.22907103823105246,0.0
2690,pnpo-1,X-coord,-1.0-1.0,0.5,1253.0,167.0,11.76056338028169,1.0,0.22907103823105246,2.6940044637032226
2786,pnpo-10,X-coord,-1.0-1.0,0.5,1279.0,141.0,9.929577464788732,1.0,0.22907103823105246,2.2745786190548167
2882,pnpo-11,X-coord,-1.0-1.0,0.5,1262.0,158.0,11.126760563380282,1.0,0.22907103823105246,2.5488185944018515
2978,pnpo-12,X-coord,-1.0-1.0,0.5,1245.0,175.0,12.32394366197183,1.0,0.22907103823105246,2.823058569748886
3074,pnpo-13,X-coord,-1.0-1.0,0.5,1212.0,208.0,14.647887323943662,1.0,0.22907103823105246,3.3554067571872475
3170,pnpo-2,X-coord,-1.0-1.0,0.5,1024.0,396.0,27.887323943661972,1.0,0.22907103823105246,6.388178249260336
3266,pnpo-3,X-coord,-1.0-1.0,0.5,1184.0,236.0,16.619718309859156,1.0,0.22907103823105246,3.8070961283470695
3362,pnpo-4,X-coord,-1.0-1.0,0.5,1163.0,257.0,18.098591549295776,1.0,0.22907103823105246,4.145863156716936
3458,pnpo-5,X-coord,-1.0-1.0,0.5,1264.0,156.0,10.985915492957746,1.0,0.22907103823105246,2.5165550678904354
3554,pnpo-6,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,1.0,0.22907103823105246,0.0
3650,pnpo-7,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,1.0,0.22907103823105246,0.0
3746,pnpo-8,X-coord,-1.0-1.0,0.5,1266.0,154.0,10.845070422535212,1.0,0.22907103823105246,2.4842915413790196
3842,pnpo-9,X-coord,-1.0-1.0,0.5,1279.0,141.0,9.929577464788732,1.0,0.22907103823105246,2.2745786190548167
3,n-n-1,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0,0.22810387106491847,0.0
99,n-n-2,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0,0.22810387106491847,0.0
195,n-n-3,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0,0.22810387106491847,0.0
291,n-n-4,X-coord,-1.0-1.0,0.75,1390.0,30.0,2.112676056338028,0.0,0.22810387106491847,0.48190958675686996
387,n-n-5,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0,0.22810387106491847,0.0
483,p-p-1,X-coord,-1.0-1.0,0.75,1361.0,59.0,4.154929577464789,0.0,0.22810387106491847,0.9477555206218444
579,p-p-2,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0,0.22810387106491847,0.0
675,p-p-3,X-coord,-1.0-1.0,0.75,1209.0,211.0,14.859154929577464,0.0,0.22810387106491847,3.3894307601899856
771,p-p-4,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0,0.22810387106491847,0.0
867,p-so-1,X-coord,-1.0-1.0,0.75,1182.0,238.0,16.760563380281692,1.0,0.22810387106491847,3.8231493882711693
963,p-so-10,X-coord,-1.0-1.0,0.75,1137.0,283.0,19.929577464788732,1.0,0.22810387106491847,4.546013768406474
1059,p-so-11,X-coord,-1.0-1.0,0.75,1054.0,366.0,25.774647887323944,1.0,0.22810387106491847,5.879296958433814
1155,p-so-12,X-coord,-1.0-1.0,0.75,1022.0,398.0,28.028169014084508,1.0,0.22810387106491847,6.393333850974476
1251,p-so-13,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0,0.22810387106491847,0.0
1347,p-so-14,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0,0.22810387106491847,0.0
1443,p-so-15,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0,0.22810387106491847,0.0
1539,p-so-16,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0,0.22810387106491847,0.0
1635,p-so-2,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0,0.22810387106491847,0.0
1731,p-so-3,X-coord,-1.0-1.0,0.75,1052.0,368.0,25.91549295774648,1.0,0.22810387106491847,5.911424264217605
1827,p-so-4,X-coord,-1.0-1.0,0.75,1062.0,358.0,25.211267605633804,1.0,0.22810387106491847,5.750787735298649
1923,p-so-5,X-coord,-1.0-1.0,0.75,1290.0,130.0,9.154929577464788,1.0,0.22810387106491847,2.0882748759464365
2019,p-so-6,X-coord,-1.0-1.0,0.75,1185.0,235.0,16.549295774647888,1.0,0.22810387106491847,3.774958429595482
2115,p-so-7,X-coord,-1.0-1.0,0.75,1327.0,93.0,6.549295774647887,1.0,0.22810387106491847,1.493919718946297
2211,p-so-8,X-coord,-1.0-1.0,0.75,1177.0,243.0,17.112676056338028,1.0,0.22810387106491847,3.903467652730647
2307,p-so-9,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0,0.22810387106491847,0.0
2403,pcpo-1,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0,0.22810387106491847,0.0
2499,pcpo-2,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0,0.22810387106491847,0.0
2595,pcpo-3,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,0.0,0.22810387106491847,0.0
2691,pnpo-1,X-coord,-1.0-1.0,0.75,1268.0,152.0,10.704225352112676,1.0,0.22810387106491847,2.4416752395681414
2787,pnpo-10,X-coord,-1.0-1.0,0.75,1305.0,115.0,8.098591549295774,1.0,0.22810387106491847,1.8473200825680016
2883,pnpo-11,X-coord,-1.0-1.0,0.75,1291.0,129.0,9.084507042253522,1.0,0.22810387106491847,2.0722112230545413
2979,pnpo-12,X-coord,-1.0-1.0,0.75,1274.0,146.0,10.28169014084507,1.0,0.22810387106491847,2.3452933222167673
3075,pnpo-13,X-coord,-1.0-1.0,0.75,1228.0,192.0,13.52112676056338,1.0,0.22810387106491847,3.084221355243968
3171,pnpo-2,X-coord,-1.0-1.0,0.75,1036.0,384.0,27.04225352112676,1.0,0.22810387106491847,6.168442710487936
3267,pnpo-3,X-coord,-1.0-1.0,0.75,1214.0,206.0,14.507042253521126,1.0,0.22810387106491847,3.309112495730507
3363,pnpo-4,X-coord,-1.0-1.0,0.75,1192.0,228.0,16.056338028169016,1.0,0.22810387106491847,3.6625128593522125
3459,pnpo-5,X-coord,-1.0-1.0,0.75,1277.0,143.0,10.070422535211268,1.0,0.22810387106491847,2.2971023635410805
3555,pnpo-6,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0,0.22810387106491847,0.0
3651,pnpo-7,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0,1.0,0.22810387106491847,0.0
3747,pnpo-8,X-coord,-1.0-1.0,0.75,1279.0,141.0,9.929577464788732,1.0,0.22810387106491847,2.264975057757289
3843,pnpo-9,X-coord,-1.0-1.0,0.75,1302.0,118.0,8.309859154929578,1.0,0.22810387106491847,1.8955110412436889
4,n-n-1,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0,0.2250532723860354,0.0
100,n-n-2,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0,0.2250532723860354,0.0
196,n-n-3,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0,0.2250532723860354,0.0
292,n-n-4,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0,0.2250532723860354,0.0
388,n-n-5,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0,0.2250532723860354,0.0
484,p-p-1,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0,0.2250532723860354,0.0
580,p-p-2,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0,0.2250532723860354,0.0
676,p-p-3,X-coord,-1.0-1.0,1.0,1242.0,178.0,12.535211267605634,0.0,0.2250532723860354,2.821090315824951
772,p-p-4,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0,0.2250532723860354,0.0
868,p-so-1,X-coord,-1.0-1.0,1.0,1243.0,177.0,12.464788732394366,1.0,0.2250532723860354,2.805241493825934
964,p-so-10,X-coord,-1.0-1.0,1.0,1167.0,253.0,17.816901408450704,1.0,0.2250532723860354,4.009751965751194
1060,p-so-11,X-coord,-1.0-1.0,1.0,1072.0,348.0,24.507042253521128,1.0,0.2250532723860354,5.515390055657769
1156,p-so-12,X-coord,-1.0-1.0,1.0,1040.0,380.0,26.760563380281692,1.0,0.2250532723860354,6.0225523596262995
1252,p-so-13,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0,0.2250532723860354,0.0
1348,p-so-14,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0,0.2250532723860354,0.0
1444,p-so-15,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0,0.2250532723860354,0.0
1540,p-so-16,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0,0.2250532723860354,0.0
1636,p-so-2,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0,0.2250532723860354,0.0
1732,p-so-3,X-coord,-1.0-1.0,1.0,1087.0,333.0,23.450704225352112,1.0,0.2250532723860354,5.27765772567252
1828,p-so-4,X-coord,-1.0-1.0,1.0,1090.0,330.0,23.239436619718308,1.0,0.2250532723860354,5.23011125967547
1924,p-so-5,X-coord,-1.0-1.0,1.0,1370.0,50.0,3.5211267605633805,1.0,0.2250532723860354,0.7924410999508289
2020,p-so-6,X-coord,-1.0-1.0,1.0,1216.0,204.0,14.366197183098592,1.0,0.2250532723860354,3.233159687799382
2116,p-so-7,X-coord,-1.0-1.0,1.0,1387.0,33.0,2.323943661971831,1.0,0.2250532723860354,0.5230111259675471
2212,p-so-8,X-coord,-1.0-1.0,1.0,1197.0,223.0,15.704225352112676,1.0,0.2250532723860354,3.5342873057806967
2308,p-so-9,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0,0.2250532723860354,0.0
2404,pcpo-1,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0,0.2250532723860354,0.0
2500,pcpo-2,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0,0.2250532723860354,0.0
2596,pcpo-3,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,0.0,0.2250532723860354,0.0
2692,pnpo-1,X-coord,-1.0-1.0,1.0,1287.0,133.0,9.366197183098592,1.0,0.2250532723860354,2.1078933258692047
2788,pnpo-10,X-coord,-1.0-1.0,1.0,1314.0,106.0,7.464788732394366,1.0,0.2250532723860354,1.6799751318957572
2884,pnpo-11,X-coord,-1.0-1.0,1.0,1301.0,119.0,8.380281690140846,1.0,0.2250532723860354,1.886009817882973
2980,pnpo-12,X-coord,-1.0-1.0,1.0,1285.0,135.0,9.507042253521126,1.0,0.2250532723860354,2.1395909698672377
3076,pnpo-13,X-coord,-1.0-1.0,1.0,1241.0,179.0,12.605633802816902,1.0,0.2250532723860354,2.8369391378239674
3172,pnpo-2,X-coord,-1.0-1.0,1.0,1058.0,362.0,25.492957746478872,1.0,0.2250532723860354,5.737273563644001
3268,pnpo-3,X-coord,-1.0-1.0,1.0,1253.0,167.0,11.76056338028169,1.0,0.2250532723860354,2.646753273835768
3364,pnpo-4,X-coord,-1.0-1.0,1.0,1235.0,185.0,13.028169014084508,1.0,0.2250532723860354,2.932032069818067
3460,pnpo-5,X-coord,-1.0-1.0,1.0,1295.0,125.0,8.80281690140845,1.0,0.2250532723860354,1.981102749877072
3556,pnpo-6,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0,0.2250532723860354,0.0
3652,pnpo-7,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0,1.0,0.2250532723860354,0.0
3748,pnpo-8,X-coord,-1.0-1.0,1.0,1297.0,123.0,8.661971830985916,1.0,0.2250532723860354,1.9494051058790391
3844,pnpo-9,X-coord,-1.0-1.0,1.0,1311.0,109.0,7.676056338028169,1.0,0.2250532723860354,1.727521597892807
5,n-n-1,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0,0.20657424340670738,0.0
101,n-n-2,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0,0.20657424340670738,0.0
197,n-n-3,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0,0.20657424340670738,0.0
293,n-n-4,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0,0.20657424340670738,0.0
389,n-n-5,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0,0.20657424340670738,0.0
485,p-p-1,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0,0.20657424340670738,0.0
581,p-p-2,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0,0.20657424340670738,0.0
677,p-p-3,X-coord,-1.0-1.0,1.25,1270.0,150.0,10.56338028169014,0.0,0.20657424340670738,2.1821222895074723
773,p-p-4,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,0.0,0.20657424340670738,0.0
869,p-so-1,X-coord,-1.0-1.0,1.25,1292.0,128.0,9.014084507042254,1.0,0.20657424340670738,1.8620776870463764
965,p-so-10,X-coord,-1.0-1.0,1.25,1194.0,226.0,15.915492957746478,1.0,0.20657424340670738,3.2877309161912582
1061,p-so-11,X-coord,-1.0-1.0,1.25,1086.0,334.0,23.52112676056338,1.0,0.20657424340670738,4.858858964636639
1157,p-so-12,X-coord,-1.0-1.0,1.25,1055.0,365.0,25.704225352112676,1.0,0.20657424340670738,5.309830904468183
1253,p-so-13,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,1.0,0.20657424340670738,0.0
1349,p-so-14,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,1.0,0.20657424340670738,0.0
1445,p-so-15,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0,1.0,0.20657424340670738,0.0
